
SAMPLE_NUMBER;CORRIDOR_CODE;Ballast;Bandel;Bank;Bandel;Befästning;Bandel;Cirkulärkurva;Bandel;
1;477; ===BISLINES===      YES;477;NO;0;YES;477;NO;0;
2;477; ===BISLINES===      YES;477;NO;0;YES;477;NO;0;
3;477; ===BISLINES===      YES;477;NO;0;YES;477;NO;0;
4;477; ===BISLINES===      YES;477;NO;0;YES;477;NO;0;
5;477; ===BISLINES===      YES;477;NO;0;YES;477;NO;0;
6;477; ===BISLINES===      YES;477;NO;0;YES;477;NO;0;
7;477; ===BISLINES===      YES;477;NO;0;YES;477;NO;0;
8;477; ===BISLINES===      YES;477;NO;0;YES;477;NO;0;
9;477; ===BISLINES===      YES;477;NO;0;YES;477;NO;0;
10;477; ===BISLINES===      YES;477;NO;0;YES;477;NO;0;
SAMPLE_NUMBER;CORRIDOR_CODE;Ballast;Bandel;Bank;Bandel;Befästning;Bandel;Cirkulärkurva;Bandel;
1;477; ===BISLINES===      YES;477;NO;0;YES;477;NO;0;
2;477; ===BISLINES===      YES;477;NO;0;YES;477;NO;0;
3;477; ===BISLINES===      YES;477;NO;0;YES;477;NO;0;
4;477; ===BISLINES===      YES;477;NO;0;YES;477;NO;0;
5;477; ===BISLINES===      YES;477;NO;0;YES;477;NO;0;
6;477; ===BISLINES===      YES;477;NO;0;YES;477;NO;0;
7;477; ===BISLINES===      YES;477;NO;0;YES;477;NO;0;
8;477; ===BISLINES===      YES;477;NO;0;YES;477;NO;0;
9;477; ===BISLINES===      YES;477;NO;0;YES;477;NO;0;
10;477; ===BISLINES===      YES;477;NO;0;YES;477;NO;0;
